published,course_id,course_title,url,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,subject,published,year,quarter,month,profit,content_duration_cat,price_cat
2016-10-04,959144,Practical Accounts APP Overview,https://www.udemy.com/practical-accounts-app-overview/,True,20,1361,1,14,Intermediate Level,3.0,Business Finance,2016-10-04,2016,4,October,27220,1 : 3,1:20
2017-06-09,1233350,Bitcoin Profits for Beginners,https://www.udemy.com/bitcoin-profits-for-beginners/,True,100,61,18,30,Beginner Level,1.5,Business Finance,2017-06-09,2017,2,June,6100,1 : 3,80:110
2015-08-04,572744,Trend Traders Club: How To Find And Trade Fast Moving Trends,https://www.udemy.com/how-to-find-and-trade-profitable-fast-moving-trends/,True,75,1513,31,60,All Levels,5.5,Business Finance,2015-08-04,2015,3,August,113475,3 : 7,50:80
2016-01-14,724062,Financial Statements Basics,https://www.udemy.com/financial-statements-basics/,True,20,1374,19,9,Beginner Level,2.0,Business Finance,2016-01-14,2016,1,January,27480,1 : 3,1:20
2015-04-12,474212,High performance Stock Trading using key Options techniques,https://www.udemy.com/high-performance-stock-trading-using-options-trading-techniques/,True,40,2103,15,6,All Levels,1.5,Business Finance,2015-04-12,2015,2,April,84120,1 : 3,20:50
2016-03-21,771276,Introduction to Financial Statement Analysis,https://www.udemy.com/introduction-to-financial-statement-analysis/,True,20,1480,25,25,Beginner Level,1.5,Business Finance,2016-03-21,2016,1,March,29600,1 : 3,1:20
2015-01-08,388164,Basics of Economics (College Level),https://www.udemy.com/economics-for-accounting-and-finance-professionals/,True,25,2516,12,20,All Levels,1.5,Business Finance,2015-01-08,2015,1,January,62900,1 : 3,20:50
2015-12-03,655300,Accounting for Beginners : Learn Basics in under 1 Hour,https://www.udemy.com/accounting-for-beginners-how-to-do-accounting-super-easily/,True,50,1971,13,20,Beginner Level,1.5,Business Finance,2015-12-03,2015,4,December,98550,1 : 3,20:50
2016-10-03,949504,Straddle Options Trading - Profit in Any Market Direction,https://www.udemy.com/straddle-options-trading-profit-in-any-market-direction/,True,200,837,9,19,All Levels,1.0,Business Finance,2016-10-03,2016,4,October,167400,0 : 1,170:200
2015-12-14,680044,"Binary Options: Trading Strategies, 90% Accuracy and Signals",https://www.udemy.com/learn-trading-binary-options-from-scratch-and-3-strategies/,True,195,1723,38,24,Beginner Level,1.0,Business Finance,2015-12-14,2015,4,December,335985,0 : 1,170:200
2016-01-28,741898,Practical Accounts & Bookkeeping Automated Overview ,https://www.udemy.com/practical-accounts-bookkeeping-automated-overview/,True,20,2060,17,30,All Levels,4.5,Business Finance,2016-01-28,2016,1,January,41200,3 : 7,1:20
2014-12-31,381330,Live Account - ETF Trading System - Hacking The Stock Market,https://www.udemy.com/cracked-wall-street-hacked-the-stock-market-top-secret/,True,150,2318,19,16,All Levels,5.0,Business Finance,2014-12-31,2014,4,December,347700,3 : 7,140:170
